100436,Oklahoma Western Telephone Company
100437,Illinois Valley Cellular RSA 2-I Partnership
100438,"Novus Communications, Inc. - FL"
100439,DSL Internet Corporation - FL
100440,CCBell
100441,BellSouth
100441,BellSouth
100441,BellSouth
100441,BellSouth
100442,"Integrated Communications Consultants, Inc."
100443,AT&T - PSTN
100443,AT&T - PSTN
100443,AT&T - PSTN
100443,AT&T - PSTN
100444,"Budget Phone, Inc."
100445,"Stellar Communications, Inc. - TX"
100446,Pacific Bell
100447,Nevada Bell
100448,"Harbor Communications, LLC"
100449,"WH Link, LLC - MN"
100450,"OneStar Communications, LLC"
100451,"XFone USA, Inc. - MS"
100452,"LoadPoint Telecommunications, LLC - TN"
100453,Thunder Bay Mobility
100454,"CF Communications, LLC dba Telekenex - CA"
100455,"Winstar Communications, LLC"
100456,"Baldwin County Internet / DSSI Services, LLC"
100457,Lincolnville Tel. Co.
100458,China Tel. Co.
100459,Cobbosseecontee Tel. Co.
100460,Community Service Tel. Co.
100461,Pine Tree Tel. & Tel. Co.
100462,Saco River Tel. & Tel. Co.
100463,Standish Tel. Co.
100464,Union River Tel. Co.
100465,"Unity Tel. Co., Inc."
100466,"Borderland Communications, LLC - MI"
100467,"Brahmacom, Inc. - MA"
100468,Granby Tel. & Tel. Co.
100469,Richmond Tel. Co.
100470,Bretton Woods Tel. Co.
100471,"Granite State Tel., Inc."
100472,Dixville Tel. Co.
100473,Dunbarton Tel. Co.
100474,Union Tel. Co. - NH
100475,Shelcomm
100476,Franklin Tel. Co.
100477,"Zcall.com, Inc."
100478,"Shoreham Tel. Co., Inc."
100479,Topsham Tel. Co.
100480,"Waitsfield-Fayston Telephone Co., Inc."
100481,Berkshire Tel. Co.
100482,Cassadaga Tel. Corp.
100483,Chautauqua & Erie Tel. Corp.
100484,Chazy & Westport Tel. Corp.
100485,"Citizens Tel. Co. of Hammond NY, Inc."
100486,Taconic Tel. Corp.
100487,Crown Point Tel. Corp.
100488,Delhi Tel. Co.
100489,"Deposit Tel. Co., Inc."
100490,Dunkirk & Fredonia Tel. Co.
100491,"Edwards Tel. Co., Inc."
100492,Empire Tel. Corp.
100493,Fishers Island Tel. Corp.
100494,"Germantown Tel. Co., Inc."
100495,"Margaretville Tel. Co., Inc."
100496,Middleburgh Tel. Co.
100497,"Newport Tel. Co., Inc."
100498,"Nicholville Tel. Co., Inc."
100499,Oneida County Rural Tel. Co.
100500,"Ontario Telephone Company, Inc."
100501,Pattersonville Tel. Co. - NY
100502,Port Byron Tel. Co.
100503,State Tel. Co.
100504,"Township Tel. Co., Inc."
100505,"Trumansburg Telephone Company, Inc."
100506,"AMA Communications, LLC dba AMA*TechTel Communications - TX"
100507,Bentleyville Communications Corporation dba BentleyvilleTelephon
100508,"Lakefield Communications, Inc. - WI"
100509,Citizens Tel. Co. of Kecksburg
100510,Bridgewater-Canistota Independent Tel. Co.
100511,"Commonwealth Telephone Enterprises, Inc."
100512,Hickory Tel. Co.
100513,Ironton Tel. Co.
100514,"Lackawaxen Telecommunications Services, Inc."
100515,Laurel Highland Tel. Co.
100516,Mahanoy & Mahantango Tel. Co.
100517,Marianna-Scenery Hill Tel. Co.
100518,North Eastern Pennsylvania Tel. Co.
100519,North Penn Tel. Co.
100520,North Pittsburgh Tel. Co.
100521,Palmerton Tel. Co.
100522,Pennsylvania Tel. Co.
100523,Pymatuning Independent Tel. Co.
100524,South Canaan Tel. Co.
100525,Sugar Valley Tel. Co.
100526,Venus Tel. Corp.
100527,Yukon-Waltz Tel. Co.
100528,Buggs Island Tel. Coop.
100529,"Burke'S Garden Tel. Co., Inc."
100530,Citizens Tel. Coop.
100531,North River Tel. Coop.
100532,"MGW Telephone Company, Inc."
100533,New Hope Telephone Cooperative
100534,Pembroke Tel. Coop.
100535,Peoples Mutual Tel. Co.
100536,"Scott County Tel. Coop., Inc."
100537,Roanoke & Botetourt Tel. Co.
100538,Spruce Knob Seneca Rocks Tel. Co.
100539,War Acquisition Corp. dba War Telephone Company
100540,"Hardy Telecommunications, Inc."
100541,"Blountsville Tel. Co., Inc."
100542,Brindlee Mountain Tel. Co.
100543,"Castleberry Tel. Co., Inc."
100544,National Tel. Co. of Alabama
100545,Graceba Total Communications
100546,Gulf Telephone Company
100547,"Hayneville Tel. Co., Inc."
100548,"Hopper Telecommunications Company, Inc."
100549,Millry Tel. Co.
100550,"Mon-Cre Tel. Coop., Inc."
100551,Moundville Tel. Co.
100552,New Hope Tel. Coop.
100553,"Oakman Tel. Co., Inc."
100554,"Otelco Telephone, LLC"
100555,"Peoples Tel. Co., - WI"
100556,"Ragland Tel. Co., Inc."
100557,"Roanoke Tel. Co., Inc."
100558,"Union Springs Tel. Co., Inc."
100559,"Smart City Telecommunications, LLC dba Smart City Telecom"
100560,"ITS Telecommun. Systems, Inc."
100561,"Northeast Florida Tel. Co., Inc."
100562,"Brantley Tel. Co., Inc."
100563,"Bulloch County Rural Tel. Coop., Inc."
100564,Urban Media
100565,Chickamauga Tel. Corp.
100566,"Citizens Tel. Co., Inc."
100567,"Coastal Utilities, Inc."
100568,"Darien Tel. Co., Inc."
100569,Ellijay Tel. Co.
100570,Hart Tel. Co.
100571,"Comsouth Telecommunications, Inc."
100572,Interstate Tel. Co.
100573,"Pembroke Tel. Co., Inc."
100574,"Pineland Tel. Coop., Inc."
100575,"Planters Rural Tel. Coop., Inc."
100576,Plant Tel. Co.
100577,"Progressive Rural Tel. Coop., Inc."
100578,Public Service Tel. Co.
100579,Ringgold Tel. Co.
100580,Trenton Tel. Co.
100581,"Waverly Hall Telephone, LLC"
100582,"Wilkes Tel. & Elec. Co., Inc."
100583,"Ballard Rural Tel. Coop. Corp., Inc."
100584,"Duo County Tel. Coop., Inc."
100585,Foothills Rural Tel. Coop. Corp.
100586,"Gearheart Comm. Co., Inc. dba Coalfields Tel. Co."
100587,Leslie County Tel. Co.
100588,"Logan Tel. Coop., Inc."
100589,"Mountain Rural Tel. Coop. Corp., Inc."
100590,Peoples Rural Tel. Coop. Corp.
100591,Thacker/Grigsby Tel. Co.
100592,"West Kentucky Rural Telephone Cooperative, Inc."
100593,Campti-Pleasant Hill Tel. Co.
100594,Delcambre Tel. Co.
100595,"East Ascension Telephone Company, LLC"
100596,Elizabeth Tel. Co.
100597,Kaplan Tel. Co.
100598,Lafourche Tel. Co.
100599,"Northeast Louisiana Tel. Co., Inc."
100600,"Star Tel. Co., Inc."
100601,"GCR Telecommunications, Inc. - VA"
100602,"Bay Springs Tel. Co., Inc."
100603,"Calhoun City Tel. Co., Inc."
100604,"Myrtle Tel. Co., Inc."
100605,"Decatur Tel. Co., Inc."
